CurrentDate,Temp1,Temp2,Temp3,Temp4,avgTemp,Hum1,Hum2,Hum3,Hum4,avgHum,Wind1,Wind2,Wind3,Wind4,avgWind,Rain,7DayAvgRain,7DayAvgTemp,7dayAvgHum,7DayAvgWind,Location,Fire
01/01/2010,12,21,21,16,17.5,49,38,34,53,43.5,1.243,1.243,1.243,0,1.243,0,0,17.5,43.5,1.243,La Cañada Flintridge,0
01/02/2010,13,24,26,21,21,52,35,26,28,35.25,0.621,1.243,0.621,1.243,0.932,0,0,19.25,39.375,1.0875,La Cañada Flintridge,0
01/04/2010,15,23,25,17,20,25,20,24,30,24.75,3.728,3.728,0.621,1.864,2.48525,0,0,19.875,31.9375,1.47575,La Cañada Flintridge,0
01/05/2010,14,24,25,17,20,28,21,24,60,33.25,2.486,1.864,2.486,0,2.278666667,0,0,19.9,32.2,1.636333333,La Cañada Flintridge,0
01/08/2010,14,24,26,18,20.5,76,36,30,49,47.75,0,1.864,0.621,0,1.2425,0,0,19.85714286,39.42857143,1.656952381,La Cañada Flintridge,0
01/09/2010,17,23,24,19,20.75,40,31,29,40,35,2.486,1.864,0,0,2.175,0,0,19.82142857,39.39285714,1.83452381,La Cañada Flintridge,0
01/10/2010,16,24,24,17,20.25,48,33,31,60,43,0,1.243,1.243,0,1.243,0,0,19.71428571,42.07142857,1.834559524,La Cañada Flintridge,0
01/11/2010,16,25,27,18,21.5,50,35,26,54,41.25,1.243,0.621,0.621,0,0.828333333,0,0,19.92857143,44.42857143,1.597857143,La Cañada Flintridge,0
01/12/2010,14,21,23,15,18.25,74,63,53,85,68.75,0,0,0.621,1.243,0.932,0,0,19.67857143,49.5,1.40547619,La Cañada Flintridge,0
01/13/2010,14,16,19,16,16.25,85,78,66,60,72.25,0.621,1.864,6.214,1.243,2.4855,0,0,19.32142857,53.03571429,1.538619048,La Cañada Flintridge,0
01/14/2010,14,20,23,17,18.5,61,62,26,48,49.25,1.243,2.486,0.621,0,1.45,0,0,19.42857143,51.03571429,1.47947619,La Cañada Flintridge,0
01/15/2010,12,22,24,18,19,57,30,18,38,35.75,0,0.621,0.621,0,0.621,0,0,19.21428571,49.32142857,1.390690476,La Cañada Flintridge,0
01/18/2010,14,16,17,14,15.25,85,87,83,83,84.5,5.593,6.836,5.593,1.864,4.9715,0,0,17.28571429,61.75,1.849285714,La Cañada Flintridge,0
01/19/2010,13,14,14,12,13.25,74,72,81,86,78.25,4.35,9.321,4.35,0,6.007,0,0,16.57142857,63.10714286,2.574285714,La Cañada Flintridge,0
01/20/2010,12,14,13,12,12.75,82,82,82,76,80.5,4.971,5.593,6.214,1.864,4.6605,0,0,16.07142857,64.28571429,2.885,La Cañada Flintridge,0
01/21/2010,12,12,14,13,12.75,80,81,79,75,78.75,6.836,6.836,3.728,2.486,4.9715,1,0,15.25,68.5,3.388071429,La Cañada Flintridge,0
01/22/2010,12,11,11,10,11,83,79,80,84,81.5,0.621,1.243,1.864,0.621,1.08725,0,0,14.10714286,75.03571429,3.454678571,La Cañada Flintridge,0
01/23/2010,8,13,16,12,12.25,89,70,51,74,71,0,1.243,1.864,0,1.5535,0,0,13.32142857,78.10714286,3.587892857,La Cañada Flintridge,0
01/24/2010,9,16,18,13,14,82,60,48,77,66.75,0,0.621,2.486,0,1.5535,0,0,13.03571429,77.32142857,3.543535714,La Cañada Flintridge,0
01/25/2010,9,18,19,14,15,79,52,45,73,62.25,0,1.243,3.107,1.243,1.864333333,0,0,13,74.14285714,3.099654762,La Cañada Flintridge,0
01/26/2010,11,16,16,14,14.25,79,63,68,73,70.75,0,1.864,3.107,3.107,2.692666667,0,0,13.14285714,73.07142857,2.626178571,La Cañada Flintridge,0
01/27/2010,13,19,20,16,17,76,59,38,72,61.25,0.621,0.621,1.864,0.621,0.93175,0,0,13.75,70.32142857,2.0935,La Cañada Flintridge,0
01/28/2010,12,21,21,16,17.5,71,52,38,73,58.5,0.621,0.621,0.621,0,0.621,0,0,14.42857143,67.42857143,1.472,La Cañada Flintridge,0
01/29/2010,13,19,19,14,16.25,74,51,50,85,65,0,0.621,1.243,0,0.932,0,0,15.17857143,65.07142857,1.449821429,La Cañada Flintridge,0
01/30/2010,12,17,18,13,15,83,73,63,82,75.25,0,1.243,1.864,0,1.5535,0,0,15.57142857,65.67857143,1.449821429,La Cañada Flintridge,0
01/31/2010,12,18,19,14,15.75,83,68,57,76,71,0,0,1.864,0,1.864,0,0,15.82142857,66.28571429,1.494178571,La Cañada Flintridge,0
02/01/2010,12,18,20,15,16.25,80,61,57,80,69.5,0,0,1.864,0.621,1.2425,0,0,16,67.32142857,1.405345238,La Cañada Flintridge,0
02/02/2010,13,18,18,14,15.75,86,70,62,81,74.75,0,0.621,4.35,0,2.4855,0,0,16.21428571,67.89285714,1.37575,La Cañada Flintridge,0
02/04/2010,14,17,18,15,16,76,64,62,75,69.25,3.728,5.593,3.107,0.621,3.26225,0,0,16.03571429,70.46428571,1.886321429,La Cañada Flintridge,0
02/05/2010,14,14,13,13,13.5,76,84,87,88,83.75,3.107,6.836,8.7,8.078,6.68025,0,0,15.64285714,73.14285714,2.7075,La Cañada Flintridge,0
02/06/2010,14,16,16,13,14.75,91,86,71,79,81.75,5.593,2.486,2.486,0,3.521666667,0,0,15.60714286,74.07142857,2.988666667,La Cañada Flintridge,0
02/08/2010,12,17,17,14,15,70,59,56,80,66.25,0,0,3.107,0,3.107,0,0,15.25,72.32142857,3.107071429,La Cañada Flintridge,0
