CurrentDate,Temp1,Temp2,Temp3,Temp4,avgTemp,Hum1,Hum2,Hum3,Hum4,avgHum,Wind1,Wind2,Wind3,Wind4,avgWind,Rain,14DayAvgTemp,14dayAvgHum,14DayAvgWind,14DayAvgRain,Location,Fire
01/13/2011,24,16,13,24,19.25,35,32,34,57,39.5,1.243,0.621,1.864,0,1.242666667,0,14.23076923,53.91666667,2,0,La Ca_ada Flintridge,1
01/15/2011,28,18,14,25,21.25,64,40,20,45,42.25,0,0,0.621,0,0.621,0,15.39285714,46.05952381,2,0,La Ca_ada Flintridge,1
01/20/2011,18,12,22,23,18.75,90,69,18,32,52.25,0,0,0.621,0,0.621,0,18.16071429,52.33333333,1,0,La Ca_ada Flintridge,1
01/28/2011,13,11,17,19,15,43,26,27,84,45,0,1.864,0.621,0,1.2425,0,19.125,46.10714286,1,0,La Ca_ada Flintridge,1
02/04/2011,8,17,18,13,14,70,57,56,84,66.75,0,0,2.486,0.621,1.5535,0,16.16071429,64.14285714,2,0,La Ca_ada Flintridge,1
02/09/2011,11,20,21,17,17.25,87,56,17,26,46.5,0,0.621,1.864,0.621,1.035333333,0,15.83928571,62.14285714,1,0,La Ca_ada Flintridge,1
02/10/2011,10,19,20,14,15.75,45,32,20,43,35,0,0,1.243,0,1.243,0,15.64285714,60.78571429,1,0,La Ca_ada Flintridge,1
02/14/2011,12,17,17,14,15,88,67,55,70,70,0,0.621,4.971,0,2.796,0,16.33928571,46.89285714,2,0,La Ca_ada Flintridge,1
02/26/2011,10,13,12,9,11,91,65,41,57,63.5,1.864,3.107,4.971,0,3.314,0,13.25,67.71428571,2,0,La Ca_ada Flintridge,1
02/28/2011,7,17,18,13,13.75,72,43,38,69,55.5,0,2.486,4.35,0,3.418,0,12.75,62.28571429,3,0,La Ca_ada Flintridge,1
03/04/2011,12,20,24,16,18,90,76,49,69,71,1.864,1.243,1.864,1.243,1.5535,2,13.01785714,63.32142857,2,0,La Ca_ada Flintridge,1
03/14/2011,13,21,21,20,18.75,85,70,52,70,69.25,0,0.621,3.728,0,2.1745,2,17.26785714,61.28571429,2,1,La Ca_ada Flintridge,1
03/20/2011,13,13,13,12,12.75,67,73,88,91,79.75,6.214,6.214,11.185,1.864,6.36925,0,17.44642857,68.32142857,3,1,La Ca_ada Flintridge,1
03/29/2011,11,20,21,16,17,89,74,60,84,76.75,0,0,4.971,0,4.971,2,14.76785714,73,3,0,La Ca_ada Flintridge,1
04/01/2011,21,29,31,21,25.5,69,50,37,78,58.5,0,1.243,3.107,1.864,2.071333333,0,16.25,68.46428571,3,0,La Ca_ada Flintridge,1
04/03/2011,15,18,19,17,17.25,80,69,56,70,68.75,0,1.243,4.35,0,2.7965,0,16.80357143,67.82142857,2,0,La Ca_ada Flintridge,1
04/10/2011,12,17,19,16,16,61,52,51,71,58.75,2.486,2.486,4.971,2.486,3.10725,0,18.375,63.17857143,3,0,La Ca_ada Flintridge,1
04/12/2011,14,19,21,16,17.5,81,68,58,73,70,1.243,1.243,3.728,1.243,1.86425,0,18.53571429,61.82142857,3,0,La Ca_ada Flintridge,1
04/16/2011,19,31,32,25,26.75,50,29,26,52,39.25,0,0,5.593,0.621,3.107,0,18.375,51.10714286,3,0,La Ca_ada Flintridge,1
04/17/2011,20,24,24,19,21.75,74,60,60,78,68,0.621,1.243,3.107,0.621,1.398,0,18.69642857,52.42857143,3,0,La Ca_ada Flintridge,1
04/18/2011,17,18,19,17,17.75,75,73,69,80,74.25,1.243,0.621,1.243,1.864,1.24275,0,18.42857143,54.60714286,3,0,La Ca_ada Flintridge,1
04/22/2011,16,19,20,16,17.75,78,69,62,76,71.25,1.243,1.243,4.971,1.243,2.175,0,18.875,67.42857143,2,0,La Ca_ada Flintridge,1
04/25/2011,14,19,21,18,18,83,71,51,73,69.5,0,0.621,5.593,0.621,2.278333333,0,19.28571429,71.03571429,2,0,La Ca_ada Flintridge,1
04/26/2011,16,25,23,19,20.75,79,38,34,55,51.5,1.243,3.728,5.593,1.864,3.107,0,19.51785714,68.07142857,2,0,La Ca_ada Flintridge,1
04/28/2011,17,26,24,20,21.75,68,48,39,62,54.25,0,0,3.107,1.864,2.4855,0,20.03571429,61.35714286,2,0,La Ca_ada Flintridge,1
04/29/2011,16,23,21,19,19.75,74,59,36,52,55.25,0.621,1.864,2.486,0.621,1.398,0,19.67857143,59.07142857,2,0,La Ca_ada Flintridge,1
04/30/2011,16,24,26,26,23,70,45,13,10,34.5,0.621,0.621,3.728,1.864,1.7085,0,19.41071429,54.64285714,2,0,La Ca_ada Flintridge,1
05/02/2011,18,30,30,24,25.5,32,15,9,30,21.5,0,1.243,6.836,0.621,2.9,1,20.125,40.42857143,2,0,La Ca_ada Flintridge,1
05/03/2011,19,32,33,27,27.75,32,17,12,39,25,0,0,4.35,0,4.35,1,20.78571429,36.64285714,2,0,La Ca_ada Flintridge,1
05/06/2011,14,23,22,17,19,88,70,58,78,73.5,0,0,4.971,0.621,2.796,0,21.92857143,40.75,2,0,La Ca_ada Flintridge,1
05/07/2011,16,18,21,18,18.25,80,68,61,70,69.75,0.621,2.486,2.486,1.864,1.86425,0,22,45.78571429,2,0,La Ca_ada Flintridge,1
