,Days,Longitude,Latitude,AvgTemp,AvgHum,AvgWind,AvgRain,14dayAvgTemp,14dayAvgHum,14dayAvgWind,14dayAvgRain
0,0,37.8106959,-122.183232,18.105,70,3.07,,19.16701389,65.25694444,3,1
1,1,37.8106959,-122.183232,18.38,66,2.64,,19.16701389,65.25694444,3,1
2,2,37.8106959,-122.183232,18.28,62,2.86,,19.16701389,65.25694444,3,1
3,3,37.8106959,-122.183232,19.525,61,2.6,,19.16701389,65.25694444,3,1
4,4,37.8106959,-122.183232,21.37,56,1.94,,19.16701389,65.25694444,3,1
5,5,37.8106959,-122.183232,21.355,56,2.03,,19.16701389,65.25694444,3,1
6,0,38.2674577,-114.5958307,23.01,42,1.22,,23.50267361,44.70833333,3,3
7,1,38.2674577,-114.5958307,24.165,35,2.65,,23.50267361,44.70833333,3,3
8,2,38.2674577,-114.5958307,25.46,27,3.64,,23.50267361,44.70833333,3,3
9,3,38.2674577,-114.5958307,24.85,26,3.46,,23.50267361,44.70833333,3,3
10,4,38.2674577,-114.5958307,25.215,29,1.26,,23.50267361,44.70833333,3,3
11,5,38.2674577,-114.5958307,24.57,38,1.08,,23.50267361,44.70833333,3,3
12,0,40.0246419,-117.111486,24.105,25,1.94,,22.94670139,30.57986111,2,2
13,1,40.0246419,-117.111486,24.095,33,1.68,,22.94670139,30.57986111,2,2
14,2,40.0246419,-117.111486,25.465,27,2.26,,22.94670139,30.57986111,2,2
15,3,40.0246419,-117.111486,25.67,20,2.73,,22.94670139,30.57986111,2,2
16,4,40.0246419,-117.111486,26.065,19,1.73,,22.94670139,30.57986111,2,2
17,5,40.0246419,-117.111486,26.245,25,1.4,,22.94670139,30.57986111,2,2
18,0,39.387717,-114.6980699,19.985,47,1.3,,20.69618056,46.48611111,2,3
19,1,39.387717,-114.6980699,21.74,39,1.63,,20.69618056,46.48611111,2,3
20,2,39.387717,-114.6980699,22.51,31,2.89,,20.69618056,46.48611111,2,3
21,3,39.387717,-114.6980699,22.28,28,2.48,,20.69618056,46.48611111,2,3
22,4,39.387717,-114.6980699,22.245,29,1.18,,20.69618056,46.48611111,2,3
23,5,39.387717,-114.6980699,23.295,28,0.87,,20.69618056,46.48611111,2,3
24,0,38.9310577,-114.4216662,23.31,43,0.53,,24.05461806,41.93402778,2,4
25,1,38.9310577,-114.4216662,24.575,33,2.04,,24.05461806,41.93402778,2,4
26,2,38.9310577,-114.4216662,24.365,27,2.82,,24.05461806,41.93402778,2,4
27,3,38.9310577,-114.4216662,24.255,25,2.36,,24.05461806,41.93402778,2,4
28,4,38.9310577,-114.4216662,24.345,26,1.13,,24.05461806,41.93402778,2,4
29,5,38.9310577,-114.4216662,24.925,27,1.02,,24.05461806,41.93402778,2,4
30,0,38.6042849,-122.8323792,19.65,63,1.43,,20.55701389,60.84722222,2,0
31,1,38.6042849,-122.8323792,20.23,65,1.4,,20.55701389,60.84722222,2,0
32,2,38.6042849,-122.8323792,19.51,65,1.54,,20.55701389,60.84722222,2,0
33,3,38.6042849,-122.8323792,22.25,62,1.51,,20.55701389,60.84722222,2,0
34,4,38.6042849,-122.8323792,22.175,60,1.2,,20.55701389,60.84722222,2,0
35,5,38.6042849,-122.8323792,22.535,57,1.05,,20.55701389,60.84722222,2,0
36,0,36.7879992,-118.7795466,21.965,30,0.94,,21.90527778,33.51736111,2,1
37,1,36.7879992,-118.7795466,23.125,30,0.63,,21.90527778,33.51736111,2,1
38,2,36.7879992,-118.7795466,24.885,27,0.55,,21.90527778,33.51736111,2,1
39,3,36.7879992,-118.7795466,25.4,26,0.66,,21.90527778,33.51736111,2,1
40,4,36.7879992,-118.7795466,23.11,34,0.41,,21.90527778,33.51736111,2,1
41,5,36.7879992,-118.7795466,23.285,39,0.32,,21.90527778,33.51736111,2,1
42,0,40.3676395,-123.9414301,21.44,61,2.77,,18.80364583,67.60416667,3,0
43,1,40.3676395,-123.9414301,22.635,65,1.18,,18.80364583,67.60416667,3,0
44,2,40.3676395,-123.9414301,22.945,67,0.68,,18.80364583,67.60416667,3,0
45,3,40.3676395,-123.9414301,24.585,64,0.35,,18.80364583,67.60416667,3,0
46,4,40.3676395,-123.9414301,24.035,63,0.41,,18.80364583,67.60416667,3,0
47,5,40.3676395,-123.9414301,23.31,69,0.17,,18.80364583,67.60416667,3,0
48,0,40.2240313,-123.8003114,23.865,52,2.31,,20.67440972,60.56597222,3,0
49,1,40.2240313,-123.8003114,25.51,57,0.75,,20.67440972,60.56597222,3,0
50,2,40.2240313,-123.8003114,25.775,59,0.52,,20.67440972,60.56597222,3,0
51,3,40.2240313,-123.8003114,26.755,58,0.19,,20.67440972,60.56597222,3,0
52,4,40.2240313,-123.8003114,25.8,58,0.46,,20.67440972,60.56597222,3,0
53,5,40.2240313,-123.8003114,24.805,63,0.14,,20.67440972,60.56597222,3,0
54,0,40.3676397,-123.9225407,21.075,64,2.66,,18.24368056,71.34375,3,0
55,1,40.3676397,-123.9225407,22.88,65,1.2,,18.24368056,71.34375,3,0
56,2,40.3676397,-123.9225407,23.34,66,0.77,,18.24368056,71.34375,3,0
57,3,40.3676397,-123.9225407,25.07,64,0.44,,18.24368056,71.34375,3,0
58,4,40.3676397,-123.9225407,24.845,62,0.34,,18.24368056,71.34375,3,0
59,5,40.3676397,-123.9225407,24.33,67,0.16,,18.24368056,71.34375,3,0
60,0,40.3631952,-123.9242073,21.125,63,2.67,,18.26458333,71.20833333,3,0
61,1,40.3631952,-123.9242073,22.88,65,1.2,,18.26458333,71.20833333,3,0
62,2,40.3631952,-123.9242073,23.32,66,0.76,,18.26458333,71.20833333,3,0
63,3,40.3631952,-123.9242073,25.04,64,0.43,,18.26458333,71.20833333,3,0
64,4,40.3631952,-123.9242073,24.795,62,0.35,,18.26458333,71.20833333,3,0
65,5,40.3631952,-123.9242073,24.26,67,0.17,,18.26458333,71.20833333,3,0
66,0,40.2598637,-123.8408692,23.665,53,2.5,,20.37864583,61.71180556,3,0
67,1,40.2598637,-123.8408692,25.195,58,0.94,,20.37864583,61.71180556,3,0
68,2,40.2598637,-123.8408692,25.48,60,0.59,,20.37864583,61.71180556,3,0
69,3,40.2598637,-123.8408692,26.62,59,0.25,,20.37864583,61.71180556,3,0
70,4,40.2598637,-123.8408692,25.66,59,0.44,,20.37864583,61.71180556,3,0
71,5,40.2598637,-123.8408692,24.635,64,0.16,,20.37864583,61.71180556,3,0
72,0,40.2881964,-123.8936491,22.88,56,2.68,,19.54510417,65.14583333,3,0
73,1,40.2881964,-123.8936491,24.06,61,1.07,,19.54510417,65.14583333,3,0
74,2,40.2881964,-123.8936491,24.24,64,0.63,,19.54510417,65.14583333,3,0
75,3,40.2881964,-123.8936491,25.64,62,0.3,,19.54510417,65.14583333,3,0
76,4,40.2881964,-123.8936491,24.96,61,0.43,,19.54510417,65.14583333,3,0
77,5,40.2881964,-123.8936491,23.92,66,0.17,,19.54510417,65.14583333,3,0
78,0,40.2779191,-123.8500366,23.36,54,2.53,,20.10979167,62.81944444,3,0
79,1,40.2779191,-123.8500366,24.88,59,0.97,,20.10979167,62.81944444,3,0
80,2,40.2779191,-123.8500366,25.185,61,0.61,,20.10979167,62.81944444,3,0
81,3,40.2779191,-123.8500366,26.39,60,0.27,,20.10979167,62.81944444,3,0
82,4,40.2779191,-123.8500366,25.505,59,0.43,,20.10979167,62.81944444,3,0
83,5,40.2779191,-123.8500366,24.475,64,0.16,,20.10979167,62.81944444,3,0
84,0,38.4654692,-122.9774984,16.955,70,1.5,,18.74791667,67.13541667,2,1
85,1,38.4654692,-122.9774984,16.995,74,1.44,,18.74791667,67.13541667,2,1
