,0,1,2,3,4,5,6,7,8,9,10
0,0,37.8106959,-122.183232,18.105,70,3.07,19.16701389,65.25694444,3,0,0.350610227
1,1,37.8106959,-122.183232,18.38,66,2.64,19.16701389,65.25694444,3,0,0.340869499
2,2,37.8106959,-122.183232,18.28,62,2.86,19.16701389,65.25694444,3,0,0.352089188
3,3,37.8106959,-122.183232,19.525,61,2.6,19.16701389,65.25694444,3,0,0.363831433
4,4,37.8106959,-122.183232,21.37,56,1.94,19.16701389,65.25694444,3,0,0.348296192
5,5,37.8106959,-122.183232,21.355,56,2.03,19.16701389,65.25694444,3,0,0.354390475
6,0,38.2674577,-114.5958307,23.01,42,1.22,23.50267361,44.70833333,3,0,0.341413726
7,1,38.2674577,-114.5958307,24.165,35,2.65,23.50267361,44.70833333,3,0,0.348193996
8,2,38.2674577,-114.5958307,25.46,27,3.64,23.50267361,44.70833333,3,0,0.360730534
9,3,38.2674577,-114.5958307,24.85,26,3.46,23.50267361,44.70833333,3,0,0.383632492
10,4,38.2674577,-114.5958307,25.215,29,1.26,23.50267361,44.70833333,3,0,0.453810746
11,5,38.2674577,-114.5958307,24.57,38,1.08,23.50267361,44.70833333,3,0,0.361415322
12,0,40.0246419,-117.111486,24.105,25,1.94,22.94670139,30.57986111,2,0,0.292377868
13,1,40.0246419,-117.111486,24.095,33,1.68,22.94670139,30.57986111,2,0,0.213146329
14,2,40.0246419,-117.111486,25.465,27,2.26,22.94670139,30.57986111,2,0,0.241983619
15,3,40.0246419,-117.111486,25.67,20,2.73,22.94670139,30.57986111,2,0,0.307200482
16,4,40.0246419,-117.111486,26.065,19,1.73,22.94670139,30.57986111,2,0,0.440161139
17,5,40.0246419,-117.111486,26.245,25,1.4,22.94670139,30.57986111,2,0,0.366034172
18,0,39.387717,-114.6980699,19.985,47,1.3,20.69618056,46.48611111,2,0,0.207244615
19,1,39.387717,-114.6980699,21.74,39,1.63,20.69618056,46.48611111,2,0,0.20540395
20,2,39.387717,-114.6980699,22.51,31,2.89,20.69618056,46.48611111,2,0,0.222596783
21,3,39.387717,-114.6980699,22.28,28,2.48,20.69618056,46.48611111,2,0,0.228401722
22,4,39.387717,-114.6980699,22.245,29,1.18,20.69618056,46.48611111,2,0,0.239854101
23,5,39.387717,-114.6980699,23.295,28,0.87,20.69618056,46.48611111,2,0,0.260036241
24,0,38.9310577,-114.4216662,23.31,43,0.53,24.05461806,41.93402778,2,0,0.166865418
25,1,38.9310577,-114.4216662,24.575,33,2.04,24.05461806,41.93402778,2,0,0.146444472
26,2,38.9310577,-114.4216662,24.365,27,2.82,24.05461806,41.93402778,2,0,0.156161715
27,3,38.9310577,-114.4216662,24.255,25,2.36,24.05461806,41.93402778,2,0,0.185836087
